Date,State,Infection_Count
2020-12-31,ODISHA,4189.0
2020-12-31,PUDUCHERRY,1017.0
2020-12-31,PUNJAB,9026.0
2020-12-31,RAJASTHAN,12256.0
2020-12-31,SIKKIM,750.0
2020-12-31,TAMIL NADU,20623.0
2020-12-31,TELANGANA,7515.0
2020-12-31,TRIPURA,533.0
2020-12-31,UTTAR PRADESH,22507.0
2020-12-31,UTTARAKHAND,7414.0
2020-12-31,WEST BENGAL,21697.0
2021-01-31,ANDAMAN & NICOBAR,66.0
2021-01-31,ANDHRA PRADESH,8431.0
2021-01-31,ARUNACHAL PRADESH,69.0
2021-01-31,ASSAM,2963.0
2021-01-31,BIHAR,2701.0
2021-01-31,CHANDIGARH,499.0
2021-01-31,CHHATTISGARH,8028.0
2021-01-31,DADRA & NAGAR HAVE,38.0
2021-01-31,DAMAN & DIU,38.0
2021-01-31,DELHI,12214.0
2021-01-31,GOA,1518.0
2021-01-31,GUJARAT,7737.0
2021-01-31,HARYANA,4133.0
2021-01-31,HIMACHAL PRADESH,1373.0
2021-01-31,JAMMU & KASHMIR,2684.0
2021-01-31,JHARKHAND,1625.0
2021-01-31,KARNATAKA,18265.0
2021-01-31,KERALA,74973.0
2021-01-31,LADAKH,197.0
2021-01-31,LAKSHADWEEP,38.0
2021-01-31,MADHYA PRADESH,6475.0
2021-01-31,MAHARASHTRA,97394.0
2021-01-31,MANIPUR,517.0
2021-01-31,MEGHALAYA,214.0
2021-01-31,MIZORAM,42.0
2021-01-31,NAGALAND,288.0
2021-01-31,ODISHA,2969.0
2021-01-31,PUDUCHERRY,933.0
2021-01-31,PUNJAB,7743.0
2021-01-31,RAJASTHAN,4927.0
2021-01-31,SIKKIM,315.0
2021-01-31,TAMIL NADU,16910.0
2021-01-31,TELANGANA,3839.0
2021-01-31,TRIPURA,432.0
2021-01-31,UTTAR PRADESH,14183.0
2021-01-31,UTTARAKHAND,4163.0
2021-01-31,WEST BENGAL,15726.0
2021-02-28,ANDAMAN & NICOBAR,68.0
2021-02-28,ANDHRA PRADESH,7887.0
2021-02-28,ARUNACHAL PRADESH,56.0
2021-02-28,ASSAM,2707.0
2021-02-28,BIHAR,1940.0
2021-02-28,CHANDIGARH,733.0
2021-02-28,CHHATTISGARH,6609.0
2021-02-28,DADRA & NAGAR HAVE,35.0
2021-02-28,DAMAN & DIU,35.0
2021-02-28,DELHI,12245.0
2021-02-28,GOA,1401.0
2021-02-28,GUJARAT,6773.0
2021-02-28,HARYANA,4323.0
2021-02-28,HIMACHAL PRADESH,1313.0
2021-02-28,JAMMU & KASHMIR,2780.0
2021-02-28,JHARKHAND,1585.0
2021-02-28,KARNATAKA,18154.0
2021-02-28,KERALA,53907.0
2021-02-28,LADAKH,183.0
2021-02-28,LAKSHADWEEP,125.0
2021-02-28,MADHYA PRADESH,6649.0
2021-02-28,MAHARASHTRA,130366.0
2021-02-28,MANIPUR,406.0
2021-02-28,MEGHALAYA,165.0
2021-02-28,MIZORAM,30.0
2021-02-28,NAGALAND,251.0
2021-02-28,ODISHA,2620.0
2021-02-28,PUDUCHERRY,853.0
2021-02-28,PUNJAB,10464.0
2021-02-28,RAJASTHAN,4095.0
2021-02-28,SIKKIM,278.0
2021-02-28,TAMIL NADU,16518.0
2021-02-28,TELANGANA,3585.0
2021-02-28,TRIPURA,443.0
2021-02-28,UTTAR PRADESH,10828.0
2021-02-28,UTTARAKHAND,3539.0
2021-02-28,WEST BENGAL,13575.0
2021-03-31,ANDAMAN & NICOBAR,107.0
2021-03-31,ANDHRA PRADESH,14555.0
2021-03-31,ARUNACHAL PRADESH,60.0
2021-03-31,ASSAM,2967.0
2021-03-31,BIHAR,3156.0
2021-03-31,CHANDIGARH,3297.0
2021-03-31,CHHATTISGARH,29699.0
2021-03-31,DADRA & NAGAR HAVE,195.0
2021-03-31,DAMAN & DIU,195.0
2021-03-31,DELHI,19865.0
2021-03-31,GOA,2386.0
2021-03-31,GUJARAT,17129.0
2021-03-31,HARYANA,12881.0
2021-03-31,HIMACHAL PRADESH,4024.0
2021-03-31,JAMMU & KASHMIR,4525.0
2021-03-31,JHARKHAND,3938.0
2021-03-31,KARNATAKA,40834.0
2021-03-31,KERALA,30181.0
2021-03-31,LADAKH,386.0
2021-03-31,LAKSHADWEEP,48.0
2021-03-31,MADHYA PRADESH,21082.0
2021-03-31,MAHARASHTRA,412253.0
2021-03-31,MANIPUR,439.0
2021-03-31,MEGHALAYA,199.0
2021-03-31,MIZORAM,39.0
2021-03-31,NAGALAND,360.0
2021-03-31,ODISHA,3826.0
2021-03-31,PUDUCHERRY,1756.0
2021-03-31,PUNJAB,30700.0
2021-03-31,RAJASTHAN,11481.0
2021-03-31,SIKKIM,279.0
2021-03-31,TAMIL NADU,28598.0
2021-03-31,TELANGANA,6662.0
2021-03-31,TRIPURA,461.0
2021-03-31,UTTAR PRADESH,18659.0
2021-03-31,UTTARAKHAND,5081.0
2021-03-31,WEST BENGAL,16104.0
